500 123 1 0,0.00416751,0.00447491,0.00412585,0.00378766,0.00464113,0.00496716,0.00444643,0.00613781,0.00406691,0.00391617 ,
1000 123 1 0,0.0067224,0.0076106,0.00835714,0.00600363,0.00720316,0.00912363,0.00809073,0.00935512,0.00809808,0.00718762 ,
1500 123 1 0,0.00894734,0.00924311,0.00953401,0.00815789,0.00935739,0.0101587,0.0107791,0.00880919,0.00980385,0.0091181 ,
2000 123 1 -0.081,0.0105281,0.0114523,0.0160918,0.0110699,0.0105576,0.0117827,0.012088,0.0100548,0.011286,0.0117695 ,
2500 123 1 0,0.0115457,0.0134714,0.019034,0.0125045,0.0122946,0.0126211,0.0139103,0.0115141,0.0139963,0.0118706 ,
3000 123 1 0,0.0130018,0.0163265,0.0222721,0.0134401,0.0144078,0.0139755,0.0138422,0.0174505,0.0146343,0.0125512 ,
3500 123 1 0,0.0148233,0.0146375,0.0233231,0.0133303,0.0161043,0.0138793,0.014472,0.0205336,0.0152401,0.0137555 ,
4000 123 1 0,0.0154549,0.0165329,0.024017,0.0110426,0.0170395,0.0157167,0.016312,0.0217138,0.0166929,0.0151986 ,
4500 123 1 0,0.0169961,0.0152502,0.024432,0.0138358,0.0183005,0.0155206,0.0168192,0.0208057,0.0186939,0.0163031 ,
5000 123 1 0,0.0178652,0.0142643,0.0266701,0.0149855,0.0202269,0.016293,0.016495,0.0199594,0.0183318,0.0169724 ,
5500 123 1 0,0.0185686,0.0158558,0.0261054,0.014323,0.0202046,0.0163857,0.0167608,0.0219841,0.0178643,0.0184797 ,
6000 123 1 -0.039,0.0188932,0.0150311,0.024068,0.0127895,0.0193747,0.0154926,0.0171073,0.0224664,0.0171256,0.0181813 ,
6500 123 1 -0.083,0.0181503,0.0162954,0.0249558,0.011382,0.0199886,0.0160338,0.0171757,0.0235724,0.0200862,0.0170712 ,
7000 123 1 0,0.017557,0.017,0.0356463,0.014304,0.0183169,0.0159205,0.0187389,0.0193269,0.0171989,0.0190476 ,
